decision_step	day_zero_based	hour_zero_based	player	farmer	hands	market
233	9	17	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""SOUTH""], [""SOUTH""], [""SOUTH""], [""NORTH""], [""EAST""], [""SOUTH""], [""WATER""], [""NORTH""], [""PLACE"", ""FERTILIZER"", 2], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 4]]"
233	9	17	DSM	"[""COLLECT_FERTILIZER""]"	"[[""SOUTH""], [""SOUTH""], [""SOUTH""], [""WATER""], [""EAST""], [""SOUTH""], [""WATER""], [""WATER""], [""PLACE"", ""FERTILIZER"", 2], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 3]]"
234	9	18	Majkel1337	"[""NORTH""]"	"[[""WEST""], [""PLANT"", ""STRAWBERRY""], [""PLANT"", ""WHEAT""], [""WATER""], [""WATER""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WEST""], [""SOUTH""]]"	"[[""SELL"", ""FERTILIZER"", 2], [""BUY_SEED"", ""WHEAT"", 1]]"
234	9	18	DSM	"[""NORTH""]"	"[[""PLANT"", ""WHEAT""], [""PLANT"", ""STRAWBERRY""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WATER""], [""WEST""], [""SOUTH""], [""NORTH""], [""WEST""], [""SOUTH""]]"	"[[""SELL"", ""FERTILIZER"", 2], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
235	9	19	Majkel1337	"[""WATER""]"	"[[""PLANT"", ""WHEAT""], [""WATER""], [""WATER""], [""NORTH""], [""EAST""], [""WEST""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WEST""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
235	9	19	DSM	"[""WATER""]"	"[[""WATER""], [""WATER""], [""WATER""], [""WATER""], [""EAST""], [""PLANT"", ""WHEAT""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WEST""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
236	9	20	Majkel1337	"[""EAST""]"	"[[""WATER""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WATER""], [""WEST""], [""WATER""], [""WATER""], [""WEST""], [""SOUTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
236	9	20	DSM	"[""EAST""]"	"[[""SOUTH""], [""SOUTH""], [""SOUTH""], [""NORTH""], [""EAST""], [""WATER""], [""WATER""], [""NORTH""], [""WEST""], [""SOUTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
237	9	21	Majkel1337	"[""WATER""]"	"[[""SOUTH""], [""PLANT"", ""WHEAT""], [""PLANT"", ""WHEAT""], [""NORTH""], [""EAST""], [""CARE""], [""WEST""], [""NORTH""], [""WEST""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
237	9	21	DSM	"[""WATER""]"	"[[""PLANT"", ""WHEAT""], [""PLANT"", ""STRAWBERRY""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WATER""], [""SOUTH""], [""WEST""], [""WATER""], [""WEST""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
238	9	22	Majkel1337	"[""EAST""]"	"[[""PLANT"", ""WHEAT""], [""WATER""], [""WATER""], [""WATER""], [""WATER""], [""SOUTH""], [""PLANT"", ""WHEAT""], [""WATER""], [""WEST""], [""SOUTH""]]"	[]
238	9	22	DSM	"[""EAST""]"	"[[""WATER""], [""WATER""], [""WATER""], [""WATER""], [""SOUTH""], [""PLANT"", ""STRAWBERRY""], [""PLANT"", ""WHEAT""], [""SOUTH""], [""WEST""], [""SOUTH""]]"	[]
239	9	23	Majkel1337	"[""WATER""]"	"[[""WATER""], [""PASS""], [""SOUTH""], [""SOUTH""], [""SOUTH""], [""SOUTH""], [""WATER""], [""SOUTH""], [""WATER""], [""WATER""]]"	[]
239	9	23	DSM	"[""WATER""]"	"[[""NORTH""], [""PASS""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WATER""], [""WATER""], [""WATER""], [""WATER""], [""WATER""]]"	[]
240	10	0	Majkel1337	"[""HARVEST""]"	[]	"[[""SELL"", ""FERTILIZER"", 9], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 13]]"
240	10	0	DSM	"[""HARVEST""]"	[]	"[[""SELL"", ""FERTILIZER"", 9], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 11]]"
241	10	1	Majkel1337	"[""PLACE"", ""MILK"", 3]"	"[[""PICKUP"", ""WHEAT"", 5], [""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 5], [""WEST""], [""PICKUP"", ""WHEAT"", 5], [""NORTH""], [""NORTH""], [""NORTH""]]"	"[[""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 32]]"
241	10	1	DSM	"[""PLACE"", ""MILK"", 3]"	"[[""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""WEST""], [""PICKUP"", ""WHEAT"", 4], [""NORTH""], [""NORTH""], [""NORTH""]]"	"[[""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 34]]"
242	10	2	Majkel1337	"[""PICKUP"", ""WHEAT"", 4]"	"[[""FEED""], [""FEED""], [""NORTH""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""MILK"", 3], [""BUY_PRODUCT"", ""WHEAT"", 17]]"
242	10	2	DSM	"[""PICKUP"", ""WHEAT"", 5]"	"[[""FEED""], [""FEED""], [""NORTH""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""MILK"", 3], [""BUY_PRODUCT"", ""WHEAT"", 16]]"
243	10	3	Majkel1337	"[""NORTH""]"	"[[""CARE""], [""CARE""], [""EAST""], [""WEST""], [""FEED""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""], [""WEST""]]"	[]
243	10	3	DSM	"[""NORTH""]"	"[[""CARE""], [""CARE""], [""EAST""], [""WEST""], [""FEED""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""], [""WEST""]]"	[]
244	10	4	Majkel1337	"[""FEED""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""FEED""], [""WATER""], [""CARE""], [""WEST""], [""WEST""], [""WATER""], [""WEST""], [""NORTH""], [""WATER""]]"	[]
244	10	4	DSM	"[""FEED""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""FEED""], [""WATER""], [""CARE""], [""WEST""], [""WEST""], [""WATER""], [""WEST""], [""NORTH""], [""WATER""]]"	[]
245	10	5	Majkel1337	"[""CARE""]"	"[[""NORTH""], [""PLACE"", ""FERTILIZER"", 1], [""CARE""], [""NORTH""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""NORTH""], [""NORTH""], [""WEST""], [""EAST""], [""NORTH""]]"	[]
245	10	5	DSM	"[""CARE""]"	"[[""NORTH""], [""WEST""], [""CARE""], [""NORTH""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""NORTH""], [""NORTH""], [""WEST""], [""EAST""], [""NORTH""]]"	[]
246	10	6	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""EAST""], [""WEST""], [""COLLECT_FERTILIZER""], [""WATER""], [""NORTH""], [""EAST""], [""WATER""], [""WATER""], [""WATER""], [""EAST""], [""HARVEST""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
246	10	6	DSM	"[""COLLECT_FERTILIZER""]"	"[[""EAST""], [""FEED""], [""COLLECT_FERTILIZER""], [""WATER""], [""NORTH""], [""EAST""], [""WATER""], [""WATER""], [""WATER""], [""EAST""], [""HARVEST""]]"	[]
247	10	7	Majkel1337	"[""NORTH""]"	"[[""FEED""], [""FEED""], [""EAST""], [""HARVEST""], [""FEED""], [""EAST""], [""HARVEST""], [""HARVEST""], [""WEST""], [""WATER""], [""SOUTH""]]"	[]
247	10	7	DSM	"[""NORTH""]"	"[[""FEED""], [""CARE""], [""EAST""], [""HARVEST""], [""FEED""], [""EAST""], [""HARVEST""], [""HARVEST""], [""WEST""], [""WATER""], [""SOUTH""]]"	[]
248	10	8	Majkel1337	"[""FEED""]"	"[[""CARE""], [""CARE""], [""FEED""], [""SOUTH""], [""CARE""], [""EAST""], [""SOUTH""], [""SOUTH""], [""NORTH""], [""EAST""], [""SOUTH""]]"	[]
248	10	8	DSM	"[""FEED""]"	"[[""CARE""], [""COLLECT_FERTILIZER""], [""FEED""], [""SOUTH""], [""CARE""], [""EAST""], [""SOUTH""], [""SOUTH""], [""NORTH""], [""EAST""], [""SOUTH""]]"	[]
249	10	9	Majkel1337	"[""CARE""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""CARE""], [""EAST""], [""COLLECT_FERTILIZER""], [""DROP""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WATER""], [""EAST""]]"	[]
249	10	9	DSM	"[""CARE""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""CARE""], [""EAST""], [""COLLECT_FERTILIZER""], [""DROP""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WATER""], [""EAST""]]"	[]
250	10	10	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""NORTH""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""EAST""], [""NORTH""], [""PICKUP"", ""WHEAT"", 4], [""SOUTH""], [""SOUTH""], [""HARVEST""], [""EAST""], [""DROP""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_PRODUCT"", ""WHEAT"", 34]]"
250	10	10	DSM	"[""COLLECT_FERTILIZER""]"	"[[""NORTH""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""EAST""], [""NORTH""], [""PICKUP"", ""WHEAT"", 4], [""SOUTH""], [""SOUTH""], [""HARVEST""], [""EAST""], [""DROP""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_PRODUCT"", ""WHEAT"", 35]]"
251	10	11	Majkel1337	"[""HARVEST""]"	"[[""FEED""], [""WATER""], [""EAST""], [""EAST""], [""NORTH""], [""WEST""], [""DROP""], [""EAST""], [""PLANT"", ""WHEAT""], [""WATER""], [""COLLECT_FERTILIZER""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
251	10	11	DSM	"[""HARVEST""]"	"[[""FEED""], [""SOUTH""], [""EAST""], [""EAST""], [""NORTH""], [""WEST""], [""DROP""], [""EAST""], [""PLANT"", ""WHEAT""], [""WATER""], [""COLLECT_FERTILIZER""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
252	10	12	Majkel1337	"[""SOUTH""]"	"[[""CARE""], [""SOUTH""], [""FEED""], [""DROP""], [""WEST""], [""FEED""], [""WEST""], [""DROP""], [""WATER""], [""NORTH""], [""PLACE"", ""FERTILIZER"", 1]]"	"[[""SELL"", ""MELON"", 6]]"
252	10	12	DSM	"[""SOUTH""]"	"[[""CARE""], [""WEST""], [""FEED""], [""DROP""], [""WEST""], [""FEED""], [""WEST""], [""DROP""], [""WATER""], [""NORTH""], [""PLACE"", ""FERTILIZER"", 1]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1]]"
253	10	13	Majkel1337	"[""SOUTH""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""CARE""], [""PICKUP"", ""WHEAT"", 6], [""WATER""], [""CARE""], [""COLLECT_FERTILIZER""], [""WEST""], [""EAST""], [""WATER""], [""PICKUP"", ""WHEAT"", 5]]"	"[[""SELL"", ""MELON"", 12], [""SELL"", ""FERTILIZER"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
253	10	13	DSM	"[""SOUTH""]"	"[[""COLLECT_FERTILIZER""], [""PLANT"", ""STRAWBERRY""], [""CARE""], [""PICKUP"", ""WHEAT"", 5], [""WATER""], [""CARE""], [""COLLECT_FERTILIZER""], [""WEST""], [""EAST""], [""WATER""], [""PICKUP"", ""WHEAT"", 5]]"	"[[""SELL"", ""MELON"", 12], [""SELL"", ""FERTILIZER"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
254	10	14	Majkel1337	"[""DROP""]"	"[[""NORTH""], [""WEST""], [""COLLECT_FERTILIZER""], [""FEED""], [""WEST""], [""WEST""], [""WEST""], [""WEST""], [""WATER""], [""NORTH""], [""FEED""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
254	10	14	DSM	"[""DROP""]"	"[[""SOUTH""], [""WATER""], [""COLLECT_FERTILIZER""], [""FEED""], [""WEST""], [""WEST""], [""WEST""], [""WEST""], [""WATER""], [""NORTH""], [""FEED""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
255	10	15	Majkel1337	"[""PICKUP"", ""WHEAT"", 5]"	"[[""WATER""], [""PLANT"", ""WHEAT""], [""NORTH""], [""CARE""], [""WATER""], [""FEED""], [""WEST""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WATER""], [""CARE""]]"	"[[""SELL"", ""MILK"", 3], [""SELL"", ""FERTILIZER"", 2], [""BUY_SEED"", ""WHEAT"", 1]]"
255	10	15	DSM	"[""PICKUP"", ""WHEAT"", 5]"	"[[""EAST""], [""SOUTH""], [""EAST""], [""CARE""], [""WATER""], [""FEED""], [""WEST""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WATER""], [""CARE""]]"	"[[""SELL"", ""FERTILIZER"", 2]]"
256	10	16	Majkel1337	"[""NORTH""]"	"[[""SOUTH""], [""WATER""], [""WEST""], [""SOUTH""], [""SOUTH""], [""CARE""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WATER""], [""WEST""], [""DROP""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
256	10	16	DSM	"[""NORTH""]"	"[[""FEED""], [""PLANT"", ""STRAWBERRY""], [""WATER""], [""SOUTH""], [""SOUTH""], [""CARE""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WATER""], [""HARVEST""], [""DROP""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
257	10	17	Majkel1337	"[""NORTH""]"	"[[""SOUTH""], [""SOUTH""], [""FEED""], [""SOUTH""], [""PLANT"", ""STRAWBERRY""], [""NORTH""], [""WATER""], [""WEST""], [""NORTH""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
257	10	17	DSM	"[""NORTH""]"	"[[""CARE""], [""WATER""], [""NORTH""], [""SOUTH""], [""PLANT"", ""STRAWBERRY""], [""WEST""], [""WATER""], [""WEST""], [""NORTH""], [""PLANT"", ""WHEAT""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 2]]"
258	10	18	Majkel1337	"[""NORTH""]"	"[[""EAST""], [""PLANT"", ""WHEAT""], [""CARE""], [""SOUTH""], [""WATER""], [""EAST""], [""WEST""], [""PLANT"", ""WHEAT""], [""WEST""], [""WEST""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
258	10	18	DSM	"[""NORTH""]"	"[[""COLLECT_FERTILIZER""], [""WEST""], [""WATER""], [""PLANT"", ""WHEAT""], [""WATER""], [""WEST""], [""WEST""], [""PLANT"", ""WHEAT""], [""WEST""], [""WATER""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
259	10	19	Majkel1337	"[""PLANT"", ""STRAWBERRY""]"	"[[""EAST""], [""WATER""], [""COLLECT_FERTILIZER""], [""PLANT"", ""WHEAT""], [""NORTH""], [""EAST""], [""WATER""], [""WATER""], [""WATER""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
259	10	19	DSM	"[""PLANT"", ""STRAWBERRY""]"	"[[""NORTH""], [""PLANT"", ""WHEAT""], [""WEST""], [""WATER""], [""NORTH""], [""WATER""], [""WATER""], [""WATER""], [""WATER""], [""WEST""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
260	10	20	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WEST""], [""EAST""], [""WATER""], [""WEST""], [""NORTH""], [""NORTH""], [""NORTH""], [""WEST""], [""SOUTH""], [""PLANT"", ""STRAWBERRY""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
260	10	20	DSM	"[""WATER""]"	"[[""NORTH""], [""WATER""], [""WATER""], [""SOUTH""], [""WEST""], [""NORTH""], [""NORTH""], [""NORTH""], [""WEST""], [""WEST""], [""PLANT"", ""STRAWBERRY""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
261	10	21	Majkel1337	"[""NORTH""]"	"[[""EAST""], [""PLANT"", ""WHEAT""], [""EAST""], [""SOUTH""], [""WATER""], [""WEST""], [""WATER""], [""NORTH""], [""WATER""], [""WATER""], [""WATER""]]"	[]
261	10	21	DSM	"[""NORTH""]"	"[[""WATER""], [""WEST""], [""NORTH""], [""SOUTH""], [""WATER""], [""WATER""], [""WATER""], [""NORTH""], [""WATER""], [""WATER""], [""WATER""]]"	[]
262	10	22	Majkel1337	"[""SOUTH""]"	"[[""WATER""], [""WATER""], [""WATER""], [""PLANT"", ""WHEAT""], [""SOUTH""], [""NORTH""], [""NORTH""], [""WATER""], [""SOUTH""], [""EAST""], [""NORTH""]]"	[]
262	10	22	DSM	"[""SOUTH""]"	"[[""EAST""], [""PLANT"", ""WHEAT""], [""NORTH""], [""SOUTH""], [""SOUTH""], [""NORTH""], [""NORTH""], [""WATER""], [""SOUTH""], [""WEST""], [""NORTH""]]"	[]
263	10	23	Majkel1337	"[""WEST""]"	"[[""NORTH""], [""EAST""], [""NORTH""], [""WATER""], [""WEST""], [""WEST""], [""WATER""], [""PASS""], [""WATER""], [""WATER""], [""WEST""]]"	[]
263	10	23	DSM	"[""WEST""]"	"[[""WATER""], [""WATER""], [""WATER""], [""WEST""], [""WEST""], [""WATER""], [""WATER""], [""PASS""], [""WATER""], [""WATER""], [""WEST""]]"	[]
264	11	0	Majkel1337	"[""PICKUP"", ""WHEAT"", 7]"	[]	"[[""SELL"", ""FERTILIZER"", 12], [""SELL"", ""MELON"", 3], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
264	11	0	DSM	"[""PICKUP"", ""WHEAT"", 7]"	[]	"[[""SELL"", ""MELON"", 6], [""SELL"", ""FERTILIZER"", 13], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
265	11	1	Majkel1337	"[""NORTH""]"	"[[""PICKUP"", ""WHEAT"", 8], [""PICKUP"", ""WHEAT"", 8], [""PICKUP"", ""WHEAT"", 8], [""NORTH""], [""PICKUP"", ""WHEAT"", 8], [""WEST""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 13], [""HIRE""], [""HIRE""], [""HIRE""]]"
265	11	1	DSM	"[""NORTH""]"	"[[""PICKUP"", ""WHEAT"", 7], [""PICKUP"", ""WHEAT"", 7], [""PICKUP"", ""WHEAT"", 7], [""NORTH""], [""PICKUP"", ""WHEAT"", 8], [""WEST""], [""NORTH""], [""NORTH""]]"	"[[""HIRE""], [""HIRE""], [""HIRE""]]"
266	11	2	Majkel1337	"[""FEED""]"	"[[""FEED""], [""FEED""], [""NORTH""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""], [""PICKUP"", ""WHEAT"", 3], [""NORTH""], [""SOUTH""]]"	[]
266	11	2	DSM	"[""FEED""]"	"[[""FEED""], [""FEED""], [""NORTH""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""], [""PICKUP"", ""WHEAT"", 5], [""NORTH""], [""SOUTH""]]"	[]
267	11	3	Majkel1337	"[""CARE""]"	"[[""CARE""], [""CARE""], [""EAST""], [""WATER""], [""FEED""], [""WATER""], [""WEST""], [""NORTH""], [""WEST""], [""WEST""], [""WEST""]]"	[]
267	11	3	DSM	"[""CARE""]"	"[[""CARE""], [""CARE""], [""EAST""], [""WATER""], [""FEED""], [""WATER""], [""WEST""], [""NORTH""], [""WEST""], [""WEST""], [""SOUTH""]]"	[]
268	11	4	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""FEED""], [""HARVEST""], [""CARE""], [""WEST""], [""WEST""], [""NORTH""], [""FEED""], [""WEST""], [""WATER""]]"	[]
268	11	4	DSM	"[""COLLECT_FERTILIZER""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""FEED""], [""HARVEST""], [""CARE""], [""WEST""], [""WEST""], [""NORTH""], [""FEED""], [""WEST""], [""WATER""]]"	[]
269	11	5	Majkel1337	"[""NORTH""]"	"[[""NORTH""], [""WEST""], [""CARE""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""WATER""], [""WEST""], [""WATER""], [""CARE""], [""WATER""], [""SOUTH""]]"	"[[""SELL"", ""MELON"", 3]]"
269	11	5	DSM	"[""NORTH""]"	"[[""NORTH""], [""WEST""], [""CARE""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""WATER""], [""WEST""], [""WATER""], [""CARE""], [""WATER""], [""SOUTH""]]"	[]
270	11	6	Majkel1337	"[""FEED""]"	"[[""EAST""], [""FEED""], [""COLLECT_FERTILIZER""], [""EAST""], [""NORTH""], [""WEST""], [""HARVEST""], [""HARVEST""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WATER""]]"	[]
270	11	6	DSM	"[""FEED""]"	"[[""EAST""], [""FEED""], [""COLLECT_FERTILIZER""], [""EAST""], [""NORTH""], [""WEST""], [""HARVEST""], [""HARVEST""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WATER""]]"	[]
271	11	7	Majkel1337	"[""CARE""]"	"[[""FEED""], [""CARE""], [""EAST""], [""DROP""], [""FEED""], [""WATER""], [""SOUTH""], [""SOUTH""], [""WEST""], [""WATER""], [""SOUTH""]]"	"[[""SELL"", ""WHEAT"", 5]]"
271	11	7	DSM	"[""CARE""]"	"[[""FEED""], [""CARE""], [""EAST""], [""DROP""], [""FEED""], [""WATER""], [""SOUTH""], [""SOUTH""], [""WEST""], [""WATER""], [""WEST""]]"	"[[""SELL"", ""WHEAT"", 10]]"
272	11	8	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""CARE""], [""COLLECT_FERTILIZER""], [""FEED""], [""PICKUP"", ""WHEAT"", 2], [""CARE""], [""SOUTH""], [""EAST""], [""SOUTH""], [""FEED""], [""NORTH""], [""WATER""]]"	"[[""SELL"", ""MELON"", 6]]"
272	11	8	DSM	"[""COLLECT_FERTILIZER""]"	"[[""CARE""], [""COLLECT_FERTILIZER""], [""FEED""], [""PICKUP"", ""WHEAT"", 3], [""CARE""], [""SOUTH""], [""EAST""], [""SOUTH""], [""FEED""], [""NORTH""], [""WATER""]]"	"[[""SELL"", ""MELON"", 6]]"
273	11	9	Majkel1337	"[""NORTH""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""CARE""], [""FEED""], [""COLLECT_FERTILIZER""], [""WATER""], [""EAST""], [""SOUTH""], [""CARE""], [""NORTH""], [""SOUTH""]]"	[]
273	11	9	DSM	"[""NORTH""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""CARE""], [""FEED""], [""COLLECT_FERTILIZER""], [""WATER""], [""EAST""], [""SOUTH""], [""CARE""], [""NORTH""], [""SOUTH""]]"	[]
274	11	10	Majkel1337	"[""NORTH""]"	"[[""EAST""], [""WEST""], [""COLLECT_FERTILIZER""], [""CARE""], [""NORTH""], [""HARVEST""], [""DROP""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""WEST""], [""WATER""]]"	[]
274	11	10	DSM	"[""NORTH""]"	"[[""EAST""], [""WATER""], [""COLLECT_FERTILIZER""], [""CARE""], [""NORTH""], [""HARVEST""], [""DROP""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""WEST""], [""WATER""]]"	[]
275	11	11	Majkel1337	"[""WEST""]"	"[[""FEED""], [""WATER""], [""EAST""], [""NORTH""], [""WATER""], [""PLANT"", ""WHEAT""], [""COLLECT_FERTILIZER""], [""DROP""], [""WEST""], [""WATER""], [""HARVEST""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""TOMATO"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
275	11	11	DSM	"[""WEST""]"	"[[""FEED""], [""WEST""], [""EAST""], [""NORTH""], [""WATER""], [""PLANT"", ""WHEAT""], [""COLLECT_FERTILIZER""], [""DROP""], [""WEST""], [""WATER""], [""WEST""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1]]"
276	11	12	Majkel1337	"[""WATER""]"	"[[""CARE""], [""SOUTH""], [""FEED""], [""NORTH""], [""NORTH""], [""WATER""], [""NORTH""], [""NORTH""], [""WEST""], [""WEST""], [""PLANT"", ""WHEAT""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1]]"
276	11	12	DSM	"[""WATER""]"	"[[""CARE""], [""WATER""], [""FEED""], [""NORTH""], [""NORTH""], [""WATER""], [""NORTH""], [""NORTH""], [""WEST""], [""WEST""], [""WATER""]]"	"[[""SELL"", ""MELON"", 6], [""BUY_SEED"", ""WHEAT"", 1]]"
277	11	13	Majkel1337	"[""HARVEST""]"	"[[""COLLECT_FERTILIZER""], [""WATER""], [""CARE""], [""EAST""], [""WEST""], [""SOUTH""], [""WEST""], [""NORTH""], [""WATER""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
277	11	13	DSM	"[""HARVEST""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""CARE""], [""EAST""], [""WEST""], [""SOUTH""], [""WEST""], [""NORTH""], [""WATER""], [""WATER""], [""NORTH""]]"	[]
278	11	14	Majkel1337	"[""PLANT"", ""STRAWBERRY""]"	"[[""EAST""], [""WEST""], [""COLLECT_FERTILIZER""], [""EAST""], [""PLANT"", ""STRAWBERRY""], [""WATER""], [""WEST""], [""EAST""], [""SOUTH""], [""SOUTH""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
278	11	14	DSM	"[""PLANT"", ""STRAWBERRY""]"	"[[""NORTH""], [""WATER""], [""COLLECT_FERTILIZER""], [""EAST""], [""PLANT"", ""STRAWBERRY""], [""WATER""], [""WEST""], [""EAST""], [""SOUTH""], [""SOUTH""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""STRAWBERRY"", 1]]"
